track_id,source,year,position,audio_path,filename,artist,title,status,cache_path,selected_duration_sec,raw_voiced_coverage,selected_voiced_coverage,skip_reason,median_voiced_prob,jump_rate,octave_jump_rate,reason,alpha_dfa,mfdfa_ok,mfdfa_error,alpha_width,alpha_peak,W_L,W_R,B,R,spectrum_skew,delta_Hq,H_q,alpha_curve,f_alpha_curve,qvals,contour_length
billboard_1965_01,billboard,1965,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1965_1_Sam the Sham and the Pharaohs_Wooly Bully_vocals.mp3,1965_1_Sam the Sham and the Pharaohs_Wooly Bully_vocals.mp3,Sam the Sham and the Pharaohs,Wooly Bully,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1965_01.npz,15.232290249433106,0.4641925195708901,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1959_05,billboard,1959,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1959_5_Paul Anka_Lonely Boy_vocals.mp3,1959_5_Paul Anka_Lonely Boy_vocals.mp3,Paul Anka,Lonely Boy,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1959_05.npz,18.64562358276644,0.5136271383009569,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1959_01,billboard,1959,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1959_1_Johnny Horton_The Battle of New Orleans_vocals.mp3,1959_1_Johnny Horton_The Battle of New Orleans_vocals.mp3,Johnny Horton,The Battle of New Orleans,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1959_01.npz,22.01251700680272,0.7094293185663744,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1953_01,billboard,1953,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1953_1_Percy Faith_The Song from Moulin Rouge_vocals.mp3,1953_1_Percy Faith_The Song from Moulin Rouge_vocals.mp3,Percy Faith,The Song from Moulin Rouge,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1953_01.npz,27.98004535147392,0.6254796623177283,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1958_03a,billboard,1958,03a,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1958_3a_Elvis Presley_Don't_vocals.mp3,1958_3a_Elvis Presley_Don't_vocals.mp3,Elvis Presley,Don't,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1958_03a.npz,23.196734693877552,0.8119928483014716,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1964_05,billboard,1964,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1964_5_The Beach Boys_I Get Around_vocals.mp3,1964_5_The Beach Boys_I Get Around_vocals.mp3,The Beach Boys,I Get Around,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1964_05.npz,18.22766439909297,0.7316821465428277,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1973_02,billboard,1973,02,"/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1973_2_Jim Croce_Bad, Bad Leroy Brown_vocals.mp3","1973_2_Jim Croce_Bad, Bad Leroy Brown_vocals.mp3",Jim Croce,"Bad, Bad Leroy Brown",skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1973_02.npz,19.17968253968254,0.609886609759205,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1971_05,billboard,1971,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1971_5_Bee Gees_How Can You Mend a Broken Heart_vocals.mp3,1971_5_Bee Gees_How Can You Mend a Broken Heart_vocals.mp3,Bee Gees,How Can You Mend a Broken Heart,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1971_05.npz,25.68126984126984,0.6635751244752514,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1964_01,billboard,1964,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1964_1_The Beatles_I Want to Hold Your Hand_vocals.mp3,1964_1_The Beatles_I Want to Hold Your Hand_vocals.mp3,The Beatles,I Want to Hold Your Hand,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1964_01.npz,29.675102040816327,0.7390272835112692,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1970_03,billboard,1970,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1970_3_The Guess Who_American Woman_vocals.mp3,1970_3_The Guess Who_American Woman_vocals.mp3,The Guess Who,American Woman,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1970_03.npz,25.86702947845805,0.5943657750805424,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1970_02,billboard,1970,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1970_2_The Carpenters_(They Long To Be) Close To You_vocals.mp3,1970_2_The Carpenters_(They Long To Be) Close To You_vocals.mp3,The Carpenters,(They Long To Be) Close To You,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1970_02.npz,24.729251700680276,0.6420579759281234,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1965_05,billboard,1965,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1965_5_The Righteous Brothers_You've Lost That Lovin' Feelin'_vocals.mp3,1965_5_The Righteous Brothers_You've Lost That Lovin' Feelin'_vocals.mp3,The Righteous Brothers,You've Lost That Lovin' Feelin',skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1965_05.npz,27.422766439909296,0.6612557427258805,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1974_03,billboard,1974,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1974_3_Love Unlimited Orchestra_Love's Theme_vocals.mp3,1974_3_Love Unlimited Orchestra_Love's Theme_vocals.mp3,Love Unlimited Orchestra,Love's Theme,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1974_03.npz,25.07755102040817,0.2256717501815541,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1969_05,billboard,1969,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1969_5_Sly and the Family Stone_Everyday People_vocals.mp3,1969_5_Sly and the Family Stone_Everyday People_vocals.mp3,Sly and the Family Stone,Everyday People,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1969_05.npz,29.559002267573696,0.6839183673469388,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1957_04,billboard,1957,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1957_4_Tab Hunter_Young Love_vocals.mp3,1957_4_Tab Hunter_Young Love_vocals.mp3,Tab Hunter,Young Love,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1957_04.npz,29.512562358276643,0.7582013122099536,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1960_01,billboard,1960,01,"/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1960_1_Percy Faith_The Theme from ""A Summer Place""_vocals.mp3","1960_1_Percy Faith_The Theme from ""A Summer Place""_vocals.mp3",Percy Faith,The Theme from 'A Summer Place',skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1960_01.npz,21.13015873015873,0.3489900609169605,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1958_03b,billboard,1958,03b,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1958_3b_Elvis Presley_I Beg of You_vocals.mp3,1958_3b_Elvis Presley_I Beg of You_vocals.mp3,Elvis Presley,I Beg of You,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1958_03b.npz,18.854603174603174,0.7213438735177866,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1958_05,billboard,1958,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1958_5_Perez Prado_Patricia_vocals.mp3,1958_5_Perez Prado_Patricia_vocals.mp3,Perez Prado,Patricia,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1958_05.npz,21.478458049886623,0.4771831910702561,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1967_04,billboard,1967,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1967_4_The Association_Windy_vocals.mp3,1967_4_The Association_Windy_vocals.mp3,The Association,Windy,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1967_04.npz,15.580589569160995,0.491711229946524,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1959_03,billboard,1959,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1959_3_Lloyd Price_Personality_vocals.mp3,1959_3_Lloyd Price_Personality_vocals.mp3,Lloyd Price,Personality,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1959_03.npz,25.611609977324264,0.7652685798381162,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1968_02,billboard,1968,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1968_2_Paul Mauriat_Love is Blue_vocals.mp3,1968_2_Paul Mauriat_Love is Blue_vocals.mp3,Paul Mauriat,Love is Blue,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1968_02.npz,14.187392290249434,0.1918992718446601,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1955_01,billboard,1955,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1955_1_Perez Prado_Cherry Pink and Apple Blossom White_vocals.mp3,1955_1_Perez Prado_Cherry Pink and Apple Blossom White_vocals.mp3,Perez Prado,Cherry Pink and Apple Blossom White,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1955_01.npz,16.788027210884355,0.303907568479813,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1963_03,billboard,1963,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1963_3_The Cascades_Rhythm of the Rain_vocals.mp3,1963_3_The Cascades_Rhythm of the Rain_vocals.mp3,The Cascades,Rhythm of the Rain,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1963_03.npz,18.11156462585034,0.6039215686274509,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1959_02,billboard,1959,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1959_2_Bobby Darin_Mack the Knife_vocals.mp3,1959_2_Bobby Darin_Mack the Knife_vocals.mp3,Bobby Darin,Mack the Knife,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1959_02.npz,17.99546485260771,0.6886271623113729,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1950_01,billboard,1950,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1950_1_Gordon Jenkins & The Weavers_Goodnight Irene_vocals.mp3,1950_1_Gordon Jenkins & The Weavers_Goodnight Irene_vocals.mp3,Gordon Jenkins & The Weavers,Goodnight Irene,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1950_01.npz,22.84843537414966,0.592274678111588,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1957_01,billboard,1957,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1957_1_Elvis Presley_All Shook Up_vocals.mp3,1957_1_Elvis Presley_All Shook Up_vocals.mp3,Elvis Presley,All Shook Up,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1957_01.npz,21.73387755102041,0.7159890539483972,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1967_02,billboard,1967,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1967_2_The Box Tops_The Letter_vocals.mp3,1967_2_The Box Tops_The Letter_vocals.mp3,The Box Tops,The Letter,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1967_02.npz,17.972244897959182,0.7795487476712896,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1967_03,billboard,1967,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1967_3_Bobbie Gentry_Ode to Billie Joe_vocals.mp3,1967_3_Bobbie Gentry_Ode to Billie Joe_vocals.mp3,Bobbie Gentry,Ode to Billie Joe,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1967_03.npz,22.80199546485261,0.7958663388873713,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1966_02,billboard,1966,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1966_2_? and the Mysterians_96 Tears_vocals.mp3,1966_2_? and the Mysterians_96 Tears_vocals.mp3,? and the Mysterians,96 Tears,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1966_02.npz,13.931972789115646,0.5200574937932837,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1971_02a,billboard,1971,02a,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1971_2a_Rod Stewart_Maggie May_vocals.mp3,1971_2a_Rod Stewart_Maggie May_vocals.mp3,Rod Stewart,Maggie May,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1971_02a.npz,15.534149659863946,0.615638692281766,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1958_02b,billboard,1958,02b,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1958_2b_The Everly Brothers_Claudette_vocals.mp3,1958_2b_The Everly Brothers_Claudette_vocals.mp3,The Everly Brothers,Claudette,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1958_02b.npz,11.00625850340136,0.4738361602309635,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1962_05,billboard,1962,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1962_5_David Rose_The Stripper_vocals.mp3,1962_5_David Rose_The Stripper_vocals.mp3,David Rose,The Stripper,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1962_05.npz,31.161179138321994,0.3038876450234072,,low_region_voiced_coverage,,,,low_region_voiced_coverage,,,,,,,,,,,,,,,,
billboard_1966_01,billboard,1966,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1966_1_The Mamas & The Papas_California Dreamin'_vocals.mp3,1966_1_The Mamas & The Papas_California Dreamin'_vocals.mp3,The Mamas & The Papas,California Dreamin',skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1966_01.npz,20.108480725623583,0.6619676945668135,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1972_01,billboard,1972,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1972_1_Roberta Flack_The First Time Ever I Saw Your Face_vocals.mp3,1972_1_Roberta Flack_The First Time Ever I Saw Your Face_vocals.mp3,Roberta Flack,The First Time Ever I Saw Your Face,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1972_01.npz,15.85922902494331,0.7351165818440052,,too_short,,,,too_short,,,,,,,,,,,,,,,,
billboard_1954_04,billboard,1954,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1954_4_The Crew-Cuts_Sh-Boom_vocals.mp3,1954_4_The Crew-Cuts_Sh-Boom_vocals.mp3,The Crew-Cuts,Sh-Boom,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1954_04.npz,22.66267573696145,0.582749929991599,,too_short,,,,too_short,,,,,,,,,,,,,,,,
