track_id,source,year,position,audio_path,filename,artist,title,status,cache_path,selected_duration_sec,raw_voiced_coverage,selected_voiced_coverage,skip_reason,median_voiced_prob,jump_rate,octave_jump_rate
billboard_2002_03,billboard,2002,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/2002_3_Nelly_Hot in Herre_vocals.mp3,2002_3_Nelly_Hot in Herre_vocals.mp3,Nelly,Hot in Herre,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_2002_03.npz,54.4043537414966,0.7506609721374822,0.8237302603499786,,0.06608151270920701,0.11715914981855884,0.002592016588906169
billboard_1997_03,billboard,1997,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1997_3_Diddy feat. Faith Evans and 112_I'll Be Missing You_vocals.mp3,1997_3_Diddy feat. Faith Evans and 112_I'll Be Missing You_vocals.mp3,Diddy feat. Faith Evans and 112,I'll Be Missing You,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_1997_03.npz,53.080816326530616,0.7951980610467319,0.868766404199475,,0.20650679911775227,0.05390428211586902,0.007556675062972292
suno_v4_5_1950_03,suno_v4_5,1950,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/suno_v4_5/vocals/batch_1/1950_3_aa7eff4d-63cf-44fd-988c-027c7ab55941_vocals.mp3,1950_3_aa7eff4d-63cf-44fd-988c-027c7ab55941_vocals.mp3,Anton Karas,Third Man Theme,skipped,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/suno_v4_5_1950_03.npz,9.47374149659864,0.40415913200723325,,too_short,,,
billboard_2018_02,billboard,2018,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/2018_2_Ed Sheeran_Perfect_vocals.mp3,2018_2_Ed Sheeran_Perfect_vocals.mp3,Ed Sheeran,Perfect,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_2018_02.npz,47.438367346938776,0.7848489877198805,0.8835046500244738,,0.24075439447550842,0.06984478935698447,0.0022172949002217295
billboard_2005_02,billboard,2005,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/2005_2_Gwen Stefani_Hollaback Girl_vocals.mp3,2005_2_Gwen Stefani_Hollaback Girl_vocals.mp3,Gwen Stefani,Hollaback Girl,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_2005_02.npz,41.16897959183674,0.6942023934007203,0.841511562323745,,0.10857977072874497,0.0925553319919517,0.0026827632461435278
billboard_2018_04,billboard,2018,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/2018_4_Camila Cabello feat. Young Thug_Havana_vocals.mp3,2018_4_Camila Cabello feat. Young Thug_Havana_vocals.mp3,Camila Cabello feat. Young Thug,Havana,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_2018_04.npz,129.98530612244897,0.7965147168207417,0.8617363344051447,,0.24075439447557428,0.08749740825212524,0.005183495749533485
billboard_2020_03,billboard,2020,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/2020_3_Roddy Ricch_The Box_vocals.mp3,2020_3_Roddy Ricch_The Box_vocals.mp3,Roddy Ricch,The Box,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_2020_03.npz,49.458503401360545,0.8228012261259137,0.8741784037558685,,0.24075439447557428,0.0677055346587856,0.0016120365394948952
billboard_2022_02,billboard,2022,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/2022_2_Harry Styles_As It Was_vocals.mp3,2022_2_Harry Styles_As It Was_vocals.mp3,Harry Styles,As It Was,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_2022_02.npz,43.97859410430839,0.7930454290521592,0.8474128827877508,,0.24075439447557428,0.043640897755610975,0.008104738154613466
billboard_2002_02,billboard,2002,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/2002_2_Ashanti_Foolish_vocals.mp3,2002_2_Ashanti_Foolish_vocals.mp3,Ashanti,Foolish,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_2002_02.npz,42.60861678004535,0.7897692464774352,0.8392370572207084,,0.24075439447557428,0.08187134502923976,0.005847953216374269
billboard_2002_05,billboard,2002,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/2002_5_The Calling_Wherever You Will Go_vocals.mp3,2002_5_The Calling_Wherever You Will Go_vocals.mp3,The Calling,Wherever You Will Go,success,/home/data/kevinzhang/research/fractal_analysis/results/audio_melody_f0/cache/clean_contours/billboard_2002_05.npz,65.57315192743765,0.8053932584269663,0.8374645892351275,,0.42606232904328145,0.05752961082910321,0.011421319796954314
