track_id,source,year,position,audio_path,filename,artist,title,status,cache_path,selected_duration_sec,raw_voiced_coverage,selected_voiced_coverage,skip_reason
billboard_1955_04,billboard,1955,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1955_4_Roger Williams_Autumn Leaves_vocals.mp3,1955_4_Roger Williams_Autumn Leaves_vocals.mp3,Roger Williams,Autumn Leaves,pending,,,,,
billboard_1955_05,billboard,1955,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1955_5_Les Baxter_Unchained Melody_vocals.mp3,1955_5_Les Baxter_Unchained Melody_vocals.mp3,Les Baxter,Unchained Melody,pending,,,,,
billboard_1956_01,billboard,1956,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1956_1_Elvis Presley_Heartbreak Hotel_vocals.mp3,1956_1_Elvis Presley_Heartbreak Hotel_vocals.mp3,Elvis Presley,Heartbreak Hotel,pending,,,,,
billboard_1956_02,billboard,1956,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1956_2_Elvis Presley_Don't Be Cruel_vocals.mp3,1956_2_Elvis Presley_Don't Be Cruel_vocals.mp3,Elvis Presley,Don't Be Cruel,pending,,,,,
billboard_1956_03,billboard,1956,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1956_3_Nelson Riddle_Lisbon Antigua_vocals.mp3,1956_3_Nelson Riddle_Lisbon Antigua_vocals.mp3,Nelson Riddle,Lisbon Antigua,pending,,,,,
billboard_1956_04,billboard,1956,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1956_4_The Platters_My Prayer_vocals.mp3,1956_4_The Platters_My Prayer_vocals.mp3,The Platters,My Prayer,pending,,,,,
billboard_1956_05,billboard,1956,05,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1956_5_Gogi Grant_The Wayward Wind_vocals.mp3,1956_5_Gogi Grant_The Wayward Wind_vocals.mp3,Gogi Grant,The Wayward Wind,pending,,,,,
billboard_1957_01,billboard,1957,01,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1957_1_Elvis Presley_All Shook Up_vocals.mp3,1957_1_Elvis Presley_All Shook Up_vocals.mp3,Elvis Presley,All Shook Up,pending,,,,,
billboard_1957_02,billboard,1957,02,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1957_2_Pat Boone_Love Letters in the Sand_vocals.mp3,1957_2_Pat Boone_Love Letters in the Sand_vocals.mp3,Pat Boone,Love Letters in the Sand,pending,,,,,
billboard_1957_03,billboard,1957,03,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1957_3_The Diamonds_Little Darlin_vocals.mp3,1957_3_The Diamonds_Little Darlin_vocals.mp3,The Diamonds,Little Darlin,pending,,,,,
billboard_1957_04,billboard,1957,04,/home/data/kevinzhang/research/fractal_analysis/audio_data/billboard/vocals/full_duration/1957_4_Tab Hunter_Young Love_vocals.mp3,1957_4_Tab Hunter_Young Love_vocals.mp3,Tab Hunter,Young Love,pending,,,,,
