track_id,source,year,position,artist,title,alpha_dfa,alpha_width,alpha_peak,spectrum_skew,mfdfa_ok,contour_length
yue_1977_03,yue,1977,03,The Emotions,Best of My Love,1.1304975241818458,1.2987052325439834,-0.03299165054009845,1.0,True,2279.0
yue_1987_05,yue,1987,05,Starship,Nothing's Gonna Stop Us Now,1.4008851152421622,1.4055908090409854,2.3163997516536163,-0.7729095402207669,True,1732.0
yue_2014_01,yue,2014,01,Pharrell Williams,Happy,1.3820695657420756,1.5095178061445198,-0.008413457076909658,1.0,True,1298.0
yue_1993_01,yue,1993,01,Whitney Houston,I Will Always Love You,1.1999450384412995,1.4746571057553477,-0.0011395060846179916,1.0,True,1486.0
yue_2011_05,yue,2011,05,"Pitbull feat. Ne-Yo, Afrojack and Nayer",Give Me Everything,1.1176790421925622,1.1702896286830613,1.1651268758180278,-1.0,True,1557.0
yue_1981_02,yue,1981,02,Diana Ross and Lionel Richie,Endless Love,1.1136832262645049,13.26433556234116,13.44188243959968,-0.9073299709008923,True,3374.0
yue_2005_03,yue,2005,03,Mario,Let Me Love You,1.1347478729581826,2.0324206150159227,1.6282287666954725,0.48043715006969456,True,2877.0
yue_2013_03,yue,2013,03,Imagine Dragons,Radioactive,1.1717400617888862,8.839940088166168,9.410176970408102,-0.9158107134329844,True,1493.0
yue_2012_03,yue,2012,03,Fun feat. Janelle Monae,We Are Young,1.3559623267644163,13.94491486847186,13.91629238092463,-0.8205085355811211,True,1564.0
yue_2012_05,yue,2012,05,Ellie Goulding,Lights,1.0541949016022825,7.875577047190946,4.1163249583663255,0.13534088718378381,True,2081.0
yue_2006_02,yue,2006,02,Sean Paul,Temperature,1.2043479325804525,1.6213750397957583,1.5674187433185336,0.2919443889163842,True,3300.0
yue_2016_05,yue,2016,05,Twenty One Pilots,Stressed Out,0.986417020491271,16.647829020586755,16.519716579714952,-0.8947257066686569,True,3152.0
yue_2017_02,yue,2017,02,Luis Fonsi and Daddy Yankee feat. Justin Bieber,Despacito (Remix),1.1539616893656117,15.125867721068472,15.396763478342734,-0.911847895629168,True,1863.0
yue_2015_05,yue,2015,05,Maroon 5,Sugar,1.160802419299622,11.841639701137973,12.179890474551812,-0.9195116707402081,True,1580.0
yue_1996_03,yue,1996,03,Celine Dion,Because You Loved Me,1.207610190969489,14.120410356064069,14.271607150310615,-0.8992757938778062,True,1671.0
yue_1999_01,yue,1999,01,Cher,Believe,1.2757788155136003,11.42373034162142,11.516149695431722,-0.8687904918686494,True,1385.0
yue_1999_04,yue,1999,04,Whitney Houston feat. Faith Evans and Kelly Price,Heartbreak Hotel,1.1328157064809365,1.3212093692835178,-0.01940217987434334,1.0,True,2461.0
yue_2019_04,yue,2019,04,Billie Eilish,Bad Guy,0.8320605023768731,0.9608498044621023,-0.004712683835357723,1.0,True,1379.0
yue_1988_05,yue,1988,05,Guns N' Roses,Sweet Child O'Mine,1.0909027478599274,14.977410157373566,14.870416883789574,-0.876278879968529,True,2205.0
yue_2016_02,yue,2016,02,Justin Bieber,Sorry,1.2324613086793694,2.4939607930950967,1.6059251140890605,0.47685710999231984,True,2838.0
yue_1999_05,yue,1999,05,Britney Spears,...Baby One More Time,0.9344266569148472,15.455097242954409,15.403091100092382,-0.9123733544190223,True,1566.0
yue_2008_02,yue,2008,02,Leona Lewis,Bleeding Love,1.3240392995076824,4.311025677585855,4.877857176412746,-0.8453371653667112,True,1323.0
yue_2008_03,yue,2008,03,Alicia Keys,No One,1.2784389228685427,15.151564194947671,15.545347219351527,-0.9288557972312684,True,2061.0
yue_2016_04,yue,2016,04,Rihanna feat. Drake,Work,1.1399185832067302,8.955240096651101,5.121957770085091,0.01915474087986372,True,1686.0
yue_1995_03,yue,1995,03,TLC,Creep,0.9492115814472746,12.764746109862683,13.111147894882379,-0.9227785599167877,True,1414.0
yue_1986_03,yue,1986,03,Klymaxx,I Miss You,1.372451619678998,7.125294114115411,7.824730587594459,-0.9235065274680634,True,2079.0
yue_1982_04,yue,1982,04,Paul McCartney and Stevie Wonder,Ebony and Ivory,1.086087536081462,1.4345576245517442,-0.1332313838528949,1.0,True,2060.0
yue_2002_02,yue,2002,02,Ashanti,Foolish,1.3463653407596532,13.493000365497121,13.801395613147633,-0.8953863904999124,True,1917.0
yue_1995_04,yue,1995,04,Seal,Kiss from a Rose,1.1916730608492871,13.708476325482422,14.003557263619939,-0.9059090517211746,True,1744.0
yue_2019_02,yue,2019,02,Post Malone and Swae Lee,Sunflower,1.3328665878753279,13.220092165528932,13.846511367282716,-0.9127052669651428,True,2022.0
yue_2009_03,yue,2009,03,Lady Gaga feat. Colby O'Donis,Just Dance,1.2487833432193627,13.792471065531313,14.509206790961713,-0.9364906999804266,True,2381.0
yue_2019_03,yue,2019,03,Halsey,Without Me,1.3190389610863396,14.720600890464286,14.876979425576593,-0.8929193041225179,True,2671.0
yue_1987_04,yue,1987,04,Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),1.1672510954288722,4.2186153527079355,2.409068822547887,0.24301693395997007,True,2622.0
yue_2018_03,yue,2018,03,Bebe Rexha feat. Florida Georgia Line,Meant to Be,0.9659943410081059,12.485488841686164,12.853030222354946,-0.9486595334533224,True,1791.0
yue_1987_01,yue,1987,01,The Bangles,Walk Like an Egyptian,1.3876834767823123,1.5566551524845844,-0.19142339994114144,1.0,True,1673.0
yue_2013_05,yue,2013,05,Macklemore and Ryan Lewis feat. Ray Dalton,Can't Hold Us,0.9626038047959327,15.93141292745115,15.736789446127204,-0.8791503582713104,True,1335.0
yue_2022_04,yue,2022,04,Adele,Easy On Me,1.2918265493017191,1.30143500931921,-0.0030894412454205433,1.0,True,1452.0
yue_2020_05,yue,2020,05,DaBaby feat. Roddy Ricch,Rockstar,1.1151382600082933,10.757690249388414,11.409608734760994,-0.9387161239857782,True,2019.0
yue_1997_04,yue,1997,04,Toni Braxton,Un-Break My Heart,1.4385015117327735,12.302245235804124,12.818401792760284,-0.869902426169148,True,1510.0
yue_2023_03,yue,2023,03,SZA,Kill Bill,1.22759277011383,15.284577356684304,15.458931385895994,-0.895196511824768,True,1824.0
yue_2020_02,yue,2020,02,Post Malone,Circles,1.1636930754601742,5.470370751743057,5.642033938117095,-0.7363851877643881,True,2856.0
