year,position,artist,title,signal_length,alpha,intercept,r_squared,log_n,log_fn
1984,2,Tina Turner,What's Love Got to Do with It,12522,1.0466709395294678,-5.693724035353967,0.9774355419320242,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182]","[-4.981359827256939, -4.5310825273837745, -4.185392158472346, -3.676322849168525, -3.482521889259239, -3.1692242191834374, -2.813006112798854, -2.543796565242305, -2.3210322973141886, -2.101543936771072, -1.8881799334936646, -1.6743519141017393, -1.48133651102297, -1.2719291364270104, -1.0804171743180784, -0.9303114223319036, -0.768514606519422, -0.6178535854757226, -0.44770897668354415, -0.29597766185903235, -0.1672950844538953, -0.045503100233883466, 0.11196619324656844, 0.2615195067479561, 0.40831900796948023, 0.6039931686425205, 0.7192333207259561, 0.9131475213357025, 1.1078973880563774, 1.2195812988066435, 1.3004614066486495]"
1984,4,Kenny Loggins,Footloose,15885,0.9408220285355767,-5.6147772890514815,0.9744162352857015,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949]","[-5.084579985483861, -4.639365792425896, -4.306600897265755, -3.819151115927479, -3.6330116669526302, -3.3340441596992, -2.993498347164494, -2.7428942850662366, -2.5396600027579046, -2.3354285930568754, -2.133678643512373, -1.951296046587953, -1.7931952343181945, -1.6293545035830654, -1.4776329922260225, -1.3589499123391608, -1.2332529861099677, -1.0886536612857125, -0.9524299901842188, -0.8168528892439425, -0.6603090931851467, -0.4940111942114143, -0.31323598880461023, -0.18999299547799653, -0.020525344016597474, 0.14308639952177085, 0.2651968711919059, 0.34567197680479683, 0.4612773090892704, 0.5799254374395812, 0.6878103667817425, 0.8314807894106119]"
1984,5,Phil Collins,Against All Odds (Take a Look at Me Now),13128,1.115586387662958,-6.796650208870471,0.989392888343194,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182]","[-5.790920594092902, -5.361525599279378, -5.038038025727208, -4.57325606381842, -4.390795074211383, -4.09600221377368, -3.762477229803825, -3.510154902115014, -3.3135648920649956, -3.0833215917225694, -2.863722353255448, -2.634631410056939, -2.4476435720150596, -2.2481963334799224, -2.0531180294813, -1.8604818934703669, -1.6666126023887318, -1.460915016597368, -1.2550669252216342, -1.0741083797738844, -0.8759800853526873, -0.6684583219420854, -0.5314911107950342, -0.32797625399670366, -0.15018943534864646, 0.01441785255093205, 0.15866765256347323, 0.269018036002829, 0.525781853936668, 0.48866339250744617, 0.6936812386620842]"
1985,1,George Michael,Careless Whisper,13311,1.067706551648226,-6.129152021876528,0.989230284019391,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182]","[-5.234701361090407, -4.799302823127356, -4.465476648651222, -3.9760952238639637, -3.794601565685794, -3.4961913755510023, -3.1792832820641856, -2.9244643440302114, -2.730846405291357, -2.531235274617557, -2.32135486006662, -2.1328387550135353, -1.9599174771260024, -1.7908378432330663, -1.6186496003519373, -1.4441995501550073, -1.2524583100871662, -1.033726486957596, -0.8677374796738093, -0.6866546493730625, -0.5393800877850525, -0.35006008833624197, -0.1812900981140598, 0.02462513644410827, 0.2222872011987634, 0.4021860491773659, 0.5167677643673417, 0.6539639621237049, 0.8821132860711164, 0.9533820527091007, 1.1162458595440568]"
1985,2,Madonna,Like a Virgin,10878,1.0816072358886275,-5.8038502618338015,0.9834637835642963,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928]","[-4.94987300885961, -4.49868475721261, -4.156643881105219, -3.670673123422638, -3.479091062925958, -3.1758706143648157, -2.8179329846143566, -2.55072915229857, -2.330707860526611, -2.0832392808002087, -1.8535195793951071, -1.6345564489268674, -1.4622639205043761, -1.314184691083127, -1.1466319610645033, -1.0307291504412643, -0.8678968019888494, -0.7308546425481992, -0.5438264659514404, -0.37067012821518436, -0.1838534603016737, -0.0032417748482497454, 0.18299067868652363, 0.4127663446128434, 0.6144624706458333, 0.7880126330713775, 0.9458629709677221, 1.0419014313197748, 1.217869781352223, 1.2297787045181923]"
1985,3,Wham!,Wake Me Up Before You Go-Go,13440,1.0317813052271336,-6.1327328773843615,0.9801793732682497,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182]","[-5.395595002838175, -4.9523414566773685, -4.612189539558445, -4.122673827029144, -3.938054718275803, -3.6311573950420115, -3.291172823214759, -3.0111174159510385, -2.801147664860374, -2.5711095562538624, -2.339686964771395, -2.1302479104665495, -1.9126654615887297, -1.7266724743819992, -1.5663986090939692, -1.4770627268039933, -1.3655776295002386, -1.2357760131568936, -1.114075409352096, -0.9628295934747065, -0.8318006299385604, -0.6589621027034943, -0.46820769965960185, -0.31232053016400163, -0.11746329824204971, 0.06356785776729183, 0.25288759760831714, 0.4437110290625439, 0.6046268752129305, 0.7709117629130314, 1.0000075431005846]"
1985,5,Chaka Khan,I Feel for You,12816,0.9788893150229949,-5.729826710094899,0.9665306294291951,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182]","[-5.208566298787952, -4.748124707709006, -4.398161016708347, -3.886059987082963, -3.690136690941351, -3.37064389133129, -3.0082756400560777, -2.743298856021881, -2.530410553220258, -2.3305443680626454, -2.0703949763540903, -1.8593783415696912, -1.674069738885097, -1.508904869875857, -1.3643923548140011, -1.1636730429575983, -1.0747241398493532, -0.9453549347885402, -0.8284494427664889, -0.7233606444914608, -0.5971416280833519, -0.4929691402638419, -0.3485155292048048, -0.23147514019444232, -0.07186077700269099, 0.09783241605563402, 0.2582346782394395, 0.4346538033785134, 0.595263414373201, 0.7418268531706115, 0.8127378290921735]"
1986,1,Dionne and Friends,That's What Friends Are For,15210,1.190891025697343,-7.033016807273027,0.9951091813464996,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949]","[-5.776034132107649, -5.395918257441257, -5.092260696291882, -4.627501690180728, -4.450857600862148, -4.168322839806112, -3.8502303174603587, -3.591531694395304, -3.370475857435381, -3.1447556149790294, -2.8956190193654123, -2.6620132774139527, -2.4561147327270096, -2.2231390876662998, -1.9979025921449631, -1.7882624304005394, -1.5466064197924259, -1.3495150256572899, -1.1607668122710595, -0.9343008743404309, -0.7433642946730001, -0.5156985861740538, -0.3267898679633485, -0.15092241213006988, 0.038539002620990664, 0.2886708338194002, 0.41952123968105165, 0.5691133401397086, 0.7811824059820588, 1.0179903941448498, 1.1118903525250332, 1.3192368505106242]"
1986,3,Klymaxx,I Miss You,12606,1.0732241537153413,-6.249536339470077,0.9864379210951133,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182]","[-5.384364157629515, -4.948867695435315, -4.611953864551572, -4.124730367390565, -3.9394319049553785, -3.6363034452197613, -3.297002320809179, -3.0426285822058405, -2.8342219816379406, -2.623155134325977, -2.4027695236136064, -2.1909289196659523, -2.0002874736115257, -1.8000318848843073, -1.631128780473656, -1.4219374825720013, -1.277817159006084, -1.1090420559676801, -0.9477498707529177, -0.7781733669697195, -0.5910798449542369, -0.4436296608575114, -0.3086946573252635, -0.13797068627104692, 0.05258052109824319, 0.20593926780567173, 0.38342188376660946, 0.5811567157583765, 0.6811596671268312, 0.9086923933892022, 1.1303496364635126]"
1986,5,Mr. Mister,Broken Wings,14883,1.1805337800376834,-6.902660245338681,0.9944408917191219,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949]","[-5.737102943172583, -5.310415443911009, -4.990496958522769, -4.509542723213687, -4.329177072517089, -4.0364670521434745, -3.6985814303495816, -3.442974764975872, -3.223138818021205, -3.010490132848695, -2.7688385730563825, -2.5497742436582254, -2.341798023211787, -2.1200889372752325, -1.897140087789337, -1.7009549930421441, -1.5021263852849212, -1.2846682749117861, -1.1078559686408596, -0.902093924247491, -0.7111970469584139, -0.5011562775043175, -0.284745552900443, -0.12325441110557117, 0.06298785580781893, 0.2566690042680297, 0.46174931001860003, 0.6622067711166256, 0.8622719492039256, 1.1318764640171877, 1.3903130713737952, 1.3076068845335043]"
1987,1,The Bangles,Walk Like an Egyptian,15519,0.9184808402093386,-5.565794281694596,0.9799570676085034,"[1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.6390573296152584, 2.833213344056216, 2.995732273553991, 3.1780538303479458, 3.367295829986474, 3.5553480614894135, 3.7376696182833684, 3.9318256327243257, 4.110873864173311, 4.290459441148391, 4.477336814478207, 4.663439094112067, 4.844187086458591, 5.030437921392435, 5.214935757608986, 5.393627546352362, 5.575949103146316, 5.75890177387728, 5.942799375126701, 6.124683390894205, 6.3080984415095305, 6.490723534502507, 6.673297967767654, 6.855408798609928, 7.037905963447182, 7.220373836723949]","[-5.0163221319877005, -4.567369465722156, -4.235891329808947, -3.752032098397514, -3.570447170791501, -3.2789142449912356, -2.950258290733556, -2.696948557981233, -2.5053200889297, -2.3144355685261653, -2.1521794592234325, -2.0080396712194366, -1.861702056738276, -1.7243596844306073, -1.6194368307045963, -1.5260342221320493, -1.4067595800974693, -1.2688803439155, -1.1335344537597214, -0.9851035714548989, -0.8412708805701576, -0.6421543017623881, -0.48650880755562337, -0.3072264854192014, -0.17045000631670193, -0.005267926957456828, 0.14984397084102322, 0.2913410334128139, 0.46708413929176423, 0.5847550891253315, 0.7664738874406042, 0.9862783423147492]"
